id,screen_name,category
4f9e9479e4b01764677f17af,Ammoscafe,Café
4fa0d09be4b033a859c2a066,AthinaSuites,Hotel
4fa7e4ffe4b0d90527611093,ISONNeaRedestos,Language School
4fa8fff0e4b038d0ab4c57a2,elixirstudio,Gym / Fitness Center
4fad384d121d27340b3c51b7,cbanio,Furniture / Home Store
4fae6f7ee4b05b8b55e2ea92,GaiaWines,Winery
4fb0b4da7b0c8f8065270f8e,libKavala,Library
4fb35353e4b02908319d1d86,bnspro,Office
4fb5fa3ce4b03322463b345c,webmediastudio,Office
4fbfe96c6d8665bdde03c161,theopist,Hotel
4fc37388e4b08ebeff29a7d0,cafeza,Office
4fc5dd09e5e8be84c8e8ce60,farmakeioHP,Pharmacy
4fc60fd4c2ee989aa4d33671,IlioMareThassos,Resort
4fc61117c2ee989aa4d3655e,novalisterra,Housing Development
4fc72c28e4b08f659ee4c008,MakeAWishGreece,Office
4fd1a4b1e4b0fd4c8ff33958,Veltio,Office
4fd45ae9e4b0aa9a72a56d39,VillaChalkidiki,Vacation Rental
4fd73fdfbe77b2ffdcecbece,biscotto2310,Office
4fd7dda0e4b0bb21997b005d,avrahotel,Bed & Breakfast
4fd8b240e4b00acf823c63f6,nikolaosp4,Electronics Store
4fdb4609e4b0d7bcf02d91b4,pisines,Pool
4fde4efde4b0ede382b53fdf,georgalashotel,Resort
4fdefa09be77dde69e9f0328,sohosfm,Fast Food Restaurant
4fdf437ce4b0735a6efcc636,AristoteleioEdu,Private School
4fdf93f1e4b0357b858ccdd0,CskyInfo,Hotel
4fe0a6abe4b0c602e5bd7ef4,cathrinhotel,Resort
4fe479c8e4b0de20a35ff848,cplusbeauty,Spa
4fe6f8f54fc678c7441fb118,LeivathoHotel,Resort
4feac88183023e87bae36f82,SakisInterhome,Office
4ff30d6f067d750fda78fc26,olochroma,Jewelry Store
4ff6e589e4b083d14c0cfe34,MeliMeliHotel,Hotel
4ffbda75e4b02d09f9ca0808,petco_smeg,Furniture / Home Store
50017acbe4b06407f6af3051,Villa1Alexandra,Vacation Rental
5004431590e7577d4b288cab,MarinetLtd,Office
5007e11f29a66199a8a4669e,SplendourResort,Hotel
50093287e4b02b1cbab8d9db,VisitGreecegr,Tourist Information Center
500d55bcf31c9784e0dfccb1,MARINA_Stores,Miscellaneous Shop
