ID,Twitter,Category
"4d9343ced176a1cd5f4935f0","latituderss","Office"
"4d94d806cf46224b1c5e9e94","sevenspot","Video Store"
"4d984e32b188721e69cd2437","mandoulides","Private School"
"4d98ea8fe07ea35df8d5fd02","todaystores","Convenience Store"
"4d99887f29352d435e7106c2","winbank_tweets","Bank"
"4d9989a329352d43667806c2","winbank_tweets","Bank"
"4d998bf029352d43678606c2","winbank_tweets","Bank"
"4d998db929352d43109206c2","winbank_tweets","Bank"
"4d99954b29352d4331c406c2","winbank_tweets","Bank"
"4d99f6a47cfc145665e24af6","jumbostores","Toy / Game Store"
"4d9b365973df8cfa872ef1ec","sevenspot","Video Store"
"4d9c881dffb92d43f6991b88","astarte_suites","Hotel"
"4d9f5adf8b5741bdacfe8240","ralphlauren","Clothing Store"
"4d9f6690865d5481bdff3413","ma_giw","Beach Bar"
"4d9f8ecaa77d816e94850509","bp_plc","Gas Station"
"4da05cfe58c2224bf25a5079","santorinimario","Greek Restaurant"
"4da0a40ebf22a143dcc587f8","lobbyclubstage","Nightclub"
"4da31f260f578cfabc91b118","eko_greece","Gas Station"
"4da34ce47ccc816e56277a7b","eko_greece","Gas Station"
"4da433f39935a0932ccbd76f","mediamarktgr","Electronics Store"
"4da496d8bf22a1431c94e1f8","ktelkefalonias","Bus Station"
"4da5512443a17958bea1b435","alpha_bank","Bank"
"4da59e464b2280544b604cf9","medfitnessgr","Gym / Fitness Center"
"4da5b213a86e226c26bc5d8e","tigerhellas","Gift Shop"
"4da5d5bb8154a54251c1010f","weddingssanto","Event Service"
"4da62b970f2ceb2f8ff672c6","aressanahotel","Hotel"
"4da9db514df01c19b17c12a5","hugoboss","Men's Store"
"4dab0a54561462f27d939038","thermesvillas","Hotel"
"4dac47ff1e72c1ab9c1b306f","smafroditi","Grocery Store"
"4daca0604df0c11fcb62f817","costacostabar","Beach Bar"
"4daeac608154d1d4886aa7c0","vodafone_gr","Mobile Phone Shop"
"4daebdf14b229076786ca44e","tango_santorini","Cocktail Bar"
"4daec2b343a1f97d919194cf","sani_resort","Hotel"
"4daee8551e7207bbeb19eb9b","themartgr","Warehouse Store"
"4db040b00437a93f7f705756","bp_plc","Gas Station"
"4db05bbe5da32cf2df480d0f","tbarpeople","Clothing Store"
"4db11e1a8154905aadba06f3","avis_greece","Rental Car Location"
"4db11ed143a1bea42bc499e8","2psthess","Fire Station"
"4db12ca193a06157684f9561","ambotis","Travel Agency"
"4db17db88154905aadc10e55","sephoragreece","Cosmetics Shop"
"4db19135a86e63d2116dc159","atlantisbooks","Bookstore"
"4db1f8c1cda14b702a523547","roadhousebeach","Beach Bar"
"4db2824a6a23c6f1b05d8a78","eurobank_group","Bank"
"4db6fd166a23c31a034a6c4b","eko_greece","Gas Station"
"4db70c2b6a23c31a034bcc1c","lartigiano","Pizza Place"
"4db7c82190a089592686cc6d","winbank_tweets","Bank"
"4db7cae190a089592686d5a0","winbank_tweets","Bank"
"4db7d0cf90a089592686ea9c","winbank_tweets","Bank"
"4db7d77e90a08959268700e8","winbank_tweets","Bank"
"4db7df1690a0895926871a8a","winbank_tweets","Bank"
"4db7e07590a0895926871f60","winbank_tweets","Bank"
"4db832f4a86e0cd3b66044b2","printroomgr","Paper / Office Supplies Store"
"4db8397304376df9976fea9d","sephoragreece","Cosmetics Shop"
"4dbb0fd44df044e524c0d639","porto_carras","Hotel"
"4dbd99a2815439392fb20e57","aegeanairlines","Plane"
"4dbe507e4df044e5250fdb25","kotsovoloson","Electronics Store"
"4dbe916c90a02849cbd8e74d","winbank_tweets","Bank"
"4dbe975390a02849cbd90228","winbank_tweets","Bank"
"4dbe991690a02849cbd90a7e","winbank_tweets","Bank"
"4dbe999e90a02849cbd90d54","winbank_tweets","Bank"
"4dbe9a5190a02849cbd9118c","winbank_tweets","Bank"
"4dbf948c4df0f8fd6b89f624","it_teithe_gr","College Technology Building"
"4dc2f7cd1f6ef43b89d7b2c3","heavensdoor5","Café"
"4dc40b18b0fb5556cccc7102","stradivarius","Women's Store"
"4dca5fdf091a7485b200661d","winbank_tweets","Bank"
"4dca6217091a7485b20070bd","winbank_tweets","Bank"
"4dca6314091a7485b2007619","winbank_tweets","Bank"
"4dca6498091a7485b2007e10","winbank_tweets","Bank"
"4dca65ec091a7485b2008553","winbank_tweets","Bank"
"4dca668d091a7485b2008897","winbank_tweets","Bank"
"4dca68b9091a7485b20094ae","winbank_tweets","Bank"
"4dca77b1091a7485b200eb7c","winbank_tweets","Bank"
"4dca7ee3091a7485b20117cf","winbank_tweets","Bank"
"4dca7fb9091a7485b2011dbf","winbank_tweets","Bank"
"4dca8112091a7485b20126a9","winbank_tweets","Bank"
"4dca822f091a7485b2012dec","winbank_tweets","Bank"
"4dcd38c3d4c065592f5fad66","swarovski","Jewelry Store"
"4dce5b1522718eed7a357afa","makedoniamall","Shopping Mall"
"4dce6318fa7664b7c6a5e3ec","eurobank_group","Bank"
"4dce7eb5c65bdac71361e128","chaplinfaliraki","Beach Bar"
"4dd01c93e4cd130e16907902","chris_bed_club","Government Building"
"4dd23bd745dd9197faf06fee","hondoscenter","Cosmetics Shop"
"4dd4a844ae60a78cec5c2b86","alpha_bank","Bank"
"4dd618ea814d85e931facbce","avis_greece","Rental Car Location"
"4dd7d3571838b8561cf059a6","sunpalace_rodos","Hotel"
"4dda24531520f8ce73d0dd05","gracehotels","Hotel"
"4ddbde4d81305a46dba1bc5b","kitchenwas","Advertising Agency"
"4dde70777d8bb03c06b3910c","cocomatworld","Mattress Store"
"4ddf689be4cde756db328c6c","sani_resort","Hotel"
"4de157077d8b2547eae97311","bp_plc","Gas Station"
"4de23aa92271bfb84495fd28","pkcocktailbar","Cocktail Bar"
"4de4859e18385df2b0561ea6","sani_resort","Hotel"
"4de4a859cc3fa786ac871291","avis_greece","Rental Car Location"
"4de4be4dd164df85753070b6","dei_gr","Office"
"4de4d4e0b3ad5eaa5aadb597","avis_greece","Rental Car Location"
"4de758ad2271b9ccf4da324e","eltrak","Office"
"4de75cb1fa7639614264c81b","aleacafebistro","Café"
"4deb8814d4c00071b83ecee1","tholosresort","Hotel"
"4dec7fb145dd3993a8bfdbf6","aldemar_resorts","Hotel"
"4dec9d68b0fb8293f80b196f","eurobank_group","Bank"
"4deccad022713dd973ce2f17","matzirisigns","Office"
"4decf5ff45dd64cbbd10c95c","onarvillas","Bed & Breakfast"
"4dedeb5145dd3aa41d6fd6f9","kotsovoloson","Electronics Store"
"4dee2a578130702032768e41","novagreece","Electronics Store"
"4dee2bac1fc7b24f441c4c23","novagreece","Electronics Store"
"4dee2ea0813070203276ae76","novagreece","Electronics Store"
"4dee303e813070203276bb5c","novagreece","Electronics Store"
"4dee30b1813070203276beea","novagreece","Electronics Store"
