Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8
Βορίδης Χρήστου Μαυρουδής (Μάκης),Βορίδης,Βορίδης Μάκης,ΝΔ,MakisVoridis,@MakisVoridis,@MakisVoridis,@MakisVoridis,@parapolitika901,,,,
Μπούρας Κωνσταντίνου Αθανάσιος,Μπούρας,Μπούρας Αθανάσιος,ΝΔ,athbouras,@angelosbouras,,,,,,,
Κώτσηρας Αναστασίου Γεώργιος,Κώτσηρας,Κώτσηρας Γεώργιος,ΝΔ,giorgoskotsiras,@george,@LGR1033,@giorgosvr1,,,,,
Λιάκος Γεωργίου Ευάγγελος,Λιάκος,Λιάκος Ευάγγελος,ΝΔ,liakosev,@AlbaCareers,,,,,,,
Λιβανός Διονυσίου Σπυρίδωνας-Παναγιώτης (Σπήλιος),Λιβανός,Λιβανός Σπήλιος,ΝΔ,SpiliosL,@SpiliosL,@spilioslivanos,@SpiliosL,,,,,
Σαλμάς Γεωργίου Μάριος,Σαλμάς,Σαλμάς Μάριος,ΝΔ,salmasmarios,@SalmasMarios,@mariolopez,@MarioDAngelo,@officialdannytrejo,,,,
Καραγκούνης Ανδρέα Κωνσταντίνος,Καραγκούνης,Καραγκούνης Κωνσταντίνος,ΝΔ,k_karagounis,@k_karagounis,@k_karagounis,@mitoo44,@dora_panteli_,,,,
Ανδριανός Σωτηρίου Ιωάννης,Ανδριανός,Ανδριανός Ιωάννης,ΝΔ,,@jcollinsmd77,@PAK4MomAndBaby,@GAwraam,,,,,
Βλάσης Γεωργίου Κωνσταντίνος,Βλάσης,Βλάσης Κωνσταντίνος,ΝΔ,KostasVlasis,@KostasVlasis,@KostasVlasis,@VlasisOikonomo1,,,,,
Στύλιος Δημοσθένη Γεώργιος,Στύλιος,Στύλιος Γεώργιος,ΝΔ,gstylios,,,,,,,,
Αλεξοπούλου Μιχαήλ Χριστίνα,Αλεξοπούλου,Αλεξοπούλου Χριστίνα,ΝΔ,xrisalex,@christina,@alexopoulouGyn,@xrisalex,,,,,
Κατσανιώτης Ιωάννη Ανδρέας,Κατσανιώτης,Κατσανιώτης Ανδρέας,ΝΔ,katsaniotis,@katsaniotis,,,,,,,
Τσιγκρής Αντωνίου Άγγελος,Τσιγκρής,Τσιγκρής Άγγελος,ΝΔ,tsigris_angelos,@thanoskanganis,,,,,,,
Φωτήλας Ασημάκη Ιάσων,Φωτήλας,Φωτήλας Ιάσων,ΝΔ,IasonFotilas,@liza_tuktik,,,,,,,
Κουτσούμπας Βασιλείου Ανδρέας,Κουτσούμπας,Κουτσούμπας Ανδρέας,ΝΔ,kutsubad,@MyriaKoutsoumpa,,,,,,,
Πάτσης Κωνσταντίνου Ανδρέας,Πάτσης,Πάτσης Ανδρέας,ΝΔ,patsis_andreas,@patsis_andreas,@patsis_andreas,,,,,,
Μπλούχος Δημητρίου Κωνσταντίνος,Μπλούχος,Μπλούχος Κωνσταντίνος,ΝΔ,blouchosdrama,,,,,,,,
Παππάς Κωνσταντίνου Ιωάννης,Παππάς,Παππάς Ιωάννης,ΝΔ,pappas_ioannis,@JohnPappas10,@LongLiveThanos,@yannispappas,@3pfamilia,@JohnPappas10,@LongLiveThanos,,
Κόνσολας Νικία Εμμανουήλ (Μάνος),Κόνσολας,Κόνσολας Μάνος,ΝΔ,manoskonsolas,@manoskonsolas,@manoskonsolas,,,,,,
Ιατρίδη Ιωάννη Τσαμπίκα (Μίκα),Ιατρίδη,Ιατρίδη Μίκα,ΝΔ,,@gingerjames,@Kosnews24gr,,,,,,
Υψηλάντης Αναστασίου Βασίλειος - Νικόλαος,Υψηλάντης,Υψηλάντης Νικόλαος,ΝΔ,vnaypsilantis,,,,,,,,
Δημοσχάκης Σπύρου Αναστάσιος (Τάσος),Δημοσχάκης,Δημοσχάκης Τάσος,ΝΔ,ADimoschakis,@wonderful,,,,,,,
Κελέτσης Δημητρίου Σταύρος,Κελέτσης,Κελέτσης Σταύρος,ΝΔ,keletsis,@keletsis,@keletsis,,,,,,
Δερμεντζόπουλος Αλεξάνδρου Χρήστος,Δερμεντζόπουλος,Δερμεντζόπουλος Χρήστος,ΝΔ,ChrisDermen,@CMytilinios,,,,,,,
Κεδίκογλου Βασιλείου Συμεών (Σίμος),Κεδίκογλου,Κεδίκογλου Σίμος,ΝΔ,SimosKedikoglou,@SimosKedikoglou,@SimosKedikoglou,,,,,,
Ζεμπίλης Γεωργίου Αθανάσιος,Ζεμπίλης,Ζεμπίλης Αθανάσιος,ΝΔ,than_zebilis,,,,,,,,
Πνευματικός Γεωργίου Σπυρίδωνας,Πνευματικός,Πνευματικός Σπυρίδωνας,ΝΔ,,@OCanonist,,,,,,,
Κοντογεώργος Αθανασίου Κωνσταντίνος,Κοντογεώργος,Κοντογεώργος Κωνσταντίνος,ΝΔ,,,,,,,,,
Ακτύπης Δημητρίου Διονύσιος,Ακτύπης,Ακτύπης Διονύσιος,ΝΔ,,,,,,,,,
Νικολακόπουλος Θεοδώρου Ανδρέας,Νικολακόπουλος,Νικολακόπουλος Ανδρέας,ΝΔ,anikolakopoulos,@Nik_Andreas7,@andnikol1,@christina,@omada_ypefthinotitas,,,,
Τζαβάρας Γεωργίου Κωνσταντίνος,Τζαβάρας,Τζαβάρας Κωνσταντίνος,ΝΔ,Tzavaraskon,@EvgenTzavaras,,,,,,,
Αυγερινοπούλου Ζήσιμου Διονυσία - Θεοδώρα,Αυγερινοπούλου,Αυγερινοπούλου Θεοδώρα,ΝΔ,avgerinopoulou,@avgerinopoulou,@EYL40,@EYL40,,,,,
Βεσυρόπουλος Φωτίου Απόστολος,Βεσυρόπουλος,Βεσυρόπουλος Απόστολος,ΝΔ,a_vesiropoulos,,,,,,,,
Μπαρτζώκας Στεργίου Αναστάσιος,Μπαρτζώκας,Μπαρτζώκας Αναστάσιος,ΝΔ,t_bartzokas,,,,,,,,
Τσαβδαρίδης Γεωργίου Λάζαρος,Τσαβδαρίδης,Τσαβδαρίδης Λάζαρος,ΝΔ,lazarostsavdar1,@L_Tsavdaridis,@tsavdaridislazaros,@LazarosTsavdar1,@athena_ks,,,,
