screen_name,id,protected,real_name,name,Greeklish,Uppercase,Different_Name
TheoKaraoglou,393292109,False,Καράογλου Θεόδωρος,Theodoros Karaoglou,True,False,False
DimVartzopoulos,927913279,False,Βαρτζόπουλος Δημήτριος,Vartzopoulos,True,False,True
savanastasiadis,852566696,False,Αναστασιάδης Σάββας,Σάββας Αναστασιάδης,False,False,False
amirasgiorgos,75256329,False,Αμυράς Γεώργιος,Γιώργος Αμυράς,False,False,True
npanagioto,2892644871,False,Παναγιωτόπουλος Νικόλαος,N Panagiotopoulos,True,False,False
pasxalidisjohn,557882540,False,Πασχαλίδης Ιωάννης,Γιάννης Πασχαλίδης,False,False,True
mvlazaridis,189807100,False,Λαζαρίδης Μακάριος,Μακάριος Λαζαρίδης 🇬🇷,False,False,False
KotsosGiorgos,1161045320400343040,False,Κωτσός Γεώργιος,Giorgos Kotsos,True,False,True
AsiminaSkondra,1466870311,False,Σκόνδρα Ασημίνα,Ασημίνα Σκόνδρα,False,False,False
tsiaras_kostas,974974055731355654,False,Τσιάρας Κωνσταντίνος,Kostas Tsiaras,True,False,True
STEFANOS_GIKAS,395206721,False,Γκίκας Στέφανος,ΣΤΕΦΑΝΟΣ ΓΚΙΚΑΣ,False,True,False
pkappatos,1173581893079576580,False,Καππάτος Παναγής,Παναγής Καππάτος,False,False,False
georgantasgr,1150728876424867840,False,Γεωργαντάς Γεώργιος,Georgios Georgantas,True,False,True
Vrizidou_Vicky,1734838562,False,Βρυζίδου Παρασκευή,Παρασκευή Βρυζίδου,False,False,False
amanatidis_g,1205419430781628416,False,Αμανατίδης Γεώργιος,Giorgos Amanatidis,True,False,True
PapadopoulosMix,547869595,False,Παπαδόπουλος Μιχάλης,Mixalis Papadopoulos,True,False,False
Stathis_Konst,557560811,False,Κωνσταντινίδης Ευστάθιος,S K. Konstantinidis,True,False,True
msoukouli,532337898,False,Σούκουλη Μαριλένα,Μαριλένα Σούκουλη Βιλιαλη,False,False,False
TagarasNikos,552151981,False,Ταγαράς Νικόλαος,Νίκος Ταγαράς,False,False,True
ChristosDimas_,491550694,False,Δήμας Χρίστος,Χρίστος Δήμας,False,False,False
VroutsisGiannis,3064827747,False,Βρούτσης Ιωάννης,Yiannis Vroutsis,True,False,True
MonogiouKateri1,1140269473397694471,False,Μονογυιού Αικατερίνη,Monogiou Katerina,True,False,True
neokliskritikos,1139451418975330305,False,Κρητικός Νεοκλής,Νεοκλής Κριτικός,False,False,False
adavakis,444707209,False,Δαβάκης Αθανάσιος,Θανάσης Π. Δαβάκης,False,False,True
kellas_xristos,545356505,False,Κέλλας Χρήστος,Κέλλας Χρήστος,False,False,False
BiziouStella,759834368168910849,False,Μπίζιου Στέλλα,BiziouStella,True,False,True
pantamaximos,2969916503,False,Χαρακόπουλος Μάξιμος,Μάξιμος Χαρακόπουλος,False,False,False
G_Plakiotakis,558383750,False,Πλακιωτάκης Ιωάννης,Giannis Plakiotakis,True,False,True
XarAthan,2840171877,False,Αθανασίου Χαράλαμπος,Χαράλαμπος Αθανασίου,False,False,False
chboukoros1,982264362,False,Μπουκώρος Χρήστος,Μπουκώρος Χρήστος,False,False,False
maravegiaskost,2959151806,False,Μαραβέγιας Κωνσταντίνος,maravegiaskostas,True,False,True
ZettaMakri,2783917512,False,Μακρή Ζέττα,Ζέττα Μ. Μακρή,False,False,False
periklismantas,196941064,False,Μαντάς Περικλής,Περικλής Μαντάς,False,False,False
samaras_antonis,83656002,False,Σαμαράς Αντώνιος,Σαμαράς Αντώνης,False,False,True
chrysomallism,3405878033,False,Χρυσομάλλης Μίλτος,Miltos Chrysomallis,True,False,False
dionstamenitis,559643881,False,Σταμενίτης Διονύσιος,Διονύσης Σταμενίτης,False,False,False
lakis_vas,961619128237940736,False,Βασιλειάδης Λάκης,Lakis Vasileiadis,True,False,False
fbaraliakos,340183590,False,Μπαραλιάκος Φώντας,Fontas Baraliakos,True,False,False
HionidisSavvas,888762865,False,Χιονίδης Σάββας,Savvas Chionidis,True,False,False
,0,False,Γιαννάκης Στέργιος,,False,False,False
gkefalogiannis,562182659,False,Κεφαλογιάννης Ιωάννης,GiannisKefalogiannis,True,False,True
e_stylianidis,1614767336,False,Στυλιανίδης Ευριπίδης,Ευρ. Στυλιανίδης,False,False,True
ChStefanadis,849094652,False,Στεφανάδης Χριστόδουλος,Ch Stefanadis,True,False,True
The_Leontaridis,540694975,False,Λεονταρίδης Θεόφιλος,Θεόφιλος Λεονταρίδης,False,False,False
karamanlis_k,1156609842888552448,False,Καραμανλής Κωνσταντίνος,Κώστας Καραμανλής,False,False,True
ArampatziFotini,537431019,False,Αραμπατζή Φωτεινή,Fotini Arampatzi,True,False,False
tasos_chatziv,474756525,False,Χατζηβασιλείου Τάσος,Tasos Chatzivasileiou,True,False,False
